id,scale_id,PA3,PA7,PA1,PA2,PA5,PA4,PA6
h24,positive_expressivity,0.27254800225421594,0.3413852292449385,0.5353167565475513,0.11040981275843446,0.13770908074358248,0.23462398905729992,0.14854197367646355
a5,positive_expressivity,0.0960702605004825,0.4904273059334439,0.27228011362116644,0.08190715895167551,0.06922033475428577,0.0026613577064498076,0.19707226663714988
a7,positive_expressivity,0.29448489868387767,0.4229947733184038,0.19562536056541233,0.08861061220061227,0.20304506728733493,0.2633853984595442,0.13991840537458447
a48,positive_expressivity,0.12245153877564775,0.4595366202792533,0.13762095206522765,0.0605331649682561,0.11165614330036396,0.03769549248494852,0.1866512305026718
a79,positive_expressivity,0.24055244289906472,0.4692794773575339,0.6136337982316752,0.2452739154533805,0.11886085628453404,0.21297369917003123,0.06837060800265714
a139,positive_expressivity,0.2619480937551809,0.65300339522075,0.5588666984277476,0.22126229453778018,0.17574454975702597,0.09398128975449745,0.24529514984189038
a4,positive_expressivity,0.2727660697187436,0.3160900959376955,0.6530004704239549,0.19116701655585844,0.17173219958284647,0.22125064439644382,0.2127783157343771
a132,positive_expressivity,0.27729773466765417,0.41071853998951646,0.7538917505506108,0.21871280751993682,0.1279465178814046,0.1639376307086365,0.2486216452522148
a84,positive_expressivity,0.22439194542951682,0.49205619818996793,0.5153182478559285,0.2568377627768482,0.18257664908471524,0.12913910942691664,0.26621784208562266
a3,negative_expressivity,0.08858494299917778,0.15833605387388378,-0.003982335024656795,-0.13154996387706563,0.3200079885896327,0.1032808632875719,0.3848754078361772
a14,negative_expressivity,0.15398326176985835,0.2077175353216564,0.0761307521664582,0.04180144925913311,0.5261992460021508,-0.047577367288053125,0.20596257870450732
a54,negative_expressivity,0.265867579027508,0.20634302262209028,0.06243496556305476,0.09174681663997124,0.48091680679024856,0.22810484240828666,0.19075997767371933
a80,negative_expressivity,0.2343287471845555,0.31436451490385237,0.13230666114750422,0.1440689333893458,0.45429974432543946,0.06688827229299002,0.13107088993712443
a101,negative_expressivity,0.3660013690551017,0.2799093768912256,0.28990015600521,0.15503556588938333,0.45625055164789974,0.055414741343138986,0.3433409063311081
